"Tidstämpel","Total poäng","Hur gammal är du?","Hur gammal är du? [Poäng]","Hur gammal är du? [Feedback]","Hur bra bedömer du att du är på att identifiera AI-genererade bilder?","Hur bra bedömer du att du är på att identifiera AI-genererade bilder? [Poäng]","Hur bra bedömer du att du är på att identifiera AI-genererade bilder? [Feedback]","GDPR:  Jag godkänner att mina anonyma resultat används för detta kandidatexamensarbete.","GDPR:  Jag godkänner att mina anonyma resultat används för detta kandidatexamensarbete. [Poäng]","GDPR:  Jag godkänner att mina anonyma resultat används för detta kandidatexamensarbete. [Feedback]","Jag förstår att jag har tillåtelse att avsluta formuläret precis när jag vill oavsett anledning.","Jag förstår att jag har tillåtelse att avsluta formuläret precis när jag vill oavsett anledning. [Poäng]","Jag förstår att jag har tillåtelse att avsluta formuläret precis när jag vill oavsett anledning. [Feedback]","1. Är bilden AI-genererad?","1. Är bilden AI-genererad? [Poäng]","1. Är bilden AI-genererad? [Feedback]","1. Varför tror du att den är AI-genererad/riktig?","1. Varför tror du att den är AI-genererad/riktig? [Poäng]","1. Varför tror du att den är AI-genererad/riktig? [Feedback]","2. Är bilden AI-genererad?","2. Är bilden AI-genererad? [Poäng]","2. Är bilden AI-genererad? [Feedback]","2. Varför tror du att den är AI-genererad/riktig?","2. Varför tror du att den är AI-genererad/riktig? [Poäng]","2. Varför tror du att den är AI-genererad/riktig? [Feedback]","3. Är bilden AI-genererad?","3. Är bilden AI-genererad? [Poäng]","3. Är bilden AI-genererad? [Feedback]","3. Varför tror du att den är AI-genererad/riktig?","3. Varför tror du att den är AI-genererad/riktig? [Poäng]","3. Varför tror du att den är AI-genererad/riktig? [Feedback]","4. Är bilden AI-genererad?","4. Är bilden AI-genererad? [Poäng]","4. Är bilden AI-genererad? [Feedback]","4. Varför tror du att den är AI-genererad/riktig?","4. Varför tror du att den är AI-genererad/riktig? [Poäng]","4. Varför tror du att den är AI-genererad/riktig? [Feedback]","5. Är bilden AI-genererad?","5. Är bilden AI-genererad? [Poäng]","5. Är bilden AI-genererad? [Feedback]","5. Varför tror du att den är AI-genererad/riktig?","5. Varför tror du att den är AI-genererad/riktig? [Poäng]","5. Varför tror du att den är AI-genererad/riktig? [Feedback]","6. Är bilden AI-genererad?","6. Är bilden AI-genererad? [Poäng]","6. Är bilden AI-genererad? [Feedback]","6. Varför tror du att den är AI-genererad/riktig?","6. Varför tror du att den är AI-genererad/riktig? [Poäng]","6. Varför tror du att den är AI-genererad/riktig? [Feedback]","7. Är bilden AI-genererad?","7. Är bilden AI-genererad? [Poäng]","7. Är bilden AI-genererad? [Feedback]","7. Varför tror du att den är AI-genererad/riktig?","7. Varför tror du att den är AI-genererad/riktig? [Poäng]","7. Varför tror du att den är AI-genererad/riktig? [Feedback]","8. Är bilden AI-genererad?","8. Är bilden AI-genererad? [Poäng]","8. Är bilden AI-genererad? [Feedback]","8. Varför tror du att den är AI-genererad/riktig?","8. Varför tror du att den är AI-genererad/riktig? [Poäng]","8. Varför tror du att den är AI-genererad/riktig? [Feedback]","9. Är bilden AI-genererad?","9. Är bilden AI-genererad? [Poäng]","9. Är bilden AI-genererad? [Feedback]","9. Varför tror du att den är AI-genererad/riktig?","9. Varför tror du att den är AI-genererad/riktig? [Poäng]","9. Varför tror du att den är AI-genererad/riktig? [Feedback]","10. Är bilden AI-genererad?","10. Är bilden AI-genererad? [Poäng]","10. Är bilden AI-genererad? [Feedback]","10. Varför tror du att den är AI-genererad/riktig?","10. Varför tror du att den är AI-genererad/riktig? [Poäng]","10. Varför tror du att den är AI-genererad/riktig? [Feedback]","11. Är bilden AI-genererad?","11. Är bilden AI-genererad? [Poäng]","11. Är bilden AI-genererad? [Feedback]","11. Varför tror du att den är AI-genererad/riktig?","11. Varför tror du att den är AI-genererad/riktig? [Poäng]","11. Varför tror du att den är AI-genererad/riktig? [Feedback]","12. Är bilden AI-genererad?","12. Är bilden AI-genererad? [Poäng]","12. Är bilden AI-genererad? [Feedback]","12. Varför tror du att den är AI-genererad/riktig?","12. Varför tror du att den är AI-genererad/riktig? [Poäng]","12. Varför tror du att den är AI-genererad/riktig? [Feedback]","13. Är bilden AI-genererad?","13. Är bilden AI-genererad? [Poäng]","13. Är bilden AI-genererad? [Feedback]","13. Varför tror du att den är AI-genererad/riktig?","13. Varför tror du att den är AI-genererad/riktig? [Poäng]","13. Varför tror du att den är AI-genererad/riktig? [Feedback]","14. Är bilden AI-genererad?","14. Är bilden AI-genererad? [Poäng]","14. Är bilden AI-genererad? [Feedback]","14. Varför tror du att den är AI-genererad/riktig?","14. Varför tror du att den är AI-genererad/riktig? [Poäng]","14. Varför tror du att den är AI-genererad/riktig? [Feedback]","15. Är bilden AI-genererad?","15. Är bilden AI-genererad? [Poäng]","15. Är bilden AI-genererad? [Feedback]","15. Varför tror du att den är AI-genererad/riktig?","15. Varför tror du att den är AI-genererad/riktig? [Poäng]","15. Varför tror du att den är AI-genererad/riktig? [Feedback]","Kommentar/Fråga (frivillig)","Kommentar/Fråga (frivillig) [Poäng]","Kommentar/Fråga (frivillig) [Feedback]"
"2024/03/28 12:01:18 em EET","13.00 / 15","23","-- / 0","","5","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Detaljer i ansiktet, individuella hårstrån är definerade","-- / 0","","Ja","1.00 / 1","","Suddigt ansikte, konstiga fingrar","-- / 0","","Ja","0.00 / 1","","Känns för ""perfekt""?","-- / 0","","Nej","1.00 / 1","","Väldigt detaljerad, ex boj i bakgrunden","-- / 0","","Ja","1.00 / 1","","Ser väldigt stilistisk ut","-- / 0","","Nej","1.00 / 1","","Många detaljer som ser rätt ut, typ salt i kvarn och individuella blommor","-- / 0","","Nej","1.00 / 1","","Extremt detaljerad","-- / 0","","Ja","1.00 / 1","","Dramatiskt ljussatt, hela bilden är lite suddig","-- / 0","","Nej","1.00 / 1","","Väldigt mycket detaljer, bilden är inte perfekt","-- / 0","","Nej","1.00 / 1","","Händerna ser rätt ut, detaljer som mobil i fickan","-- / 0","","Ja","1.00 / 1","","Ser väldigt felfri ut","-- / 0","","Nej","1.00 / 1","","Detaljerna","-- / 0","","Nej","1.00 / 1","","händer","-- / 0","","Nej","0.00 / 1","","handen ser bra ut","-- / 0","","Nej","1.00 / 1","","Ingen aning","-- / 0","","","-- / 0",""
"2024/03/28 11:59:01 em EET","9.00 / 15","27","-- / 0","","6","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Ja","0.00 / 1","","För mjuk lyster i håret ","-- / 0","","Ja","1.00 / 1","","Väldigt tydligt ","-- / 0","","Ja","0.00 / 1","","Orealistiskt rörelsemönster i vattnet. ","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Ser animerad ut ","-- / 0","","Ja","0.00 / 1","","Skärpedjupet stämmer inte överens med någon realistisk lins. ","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Ser för surrealistiskt ut ","-- / 0","","Ja","0.00 / 1","","Orealistiskt skärpedjup igen ","-- / 0","","Ja","0.00 / 1","","Väldigt stel konstig kroppshållning och för mjuka detaljer. ","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","För mjuka och konstiga händer ","-- / 0","","Nej","1.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/31 6:20:41 em EET","5.00 / 15","61","-- / 0","","5","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Ja","0.00 / 1","","Håret","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","Isflaken","-- / 0","","Ja","1.00 / 1","","Morrhåren","-- / 0","","Nej","1.00 / 1","","Perspektivet","-- / 0","","Ja","0.00 / 1","","Bladbrottet ser artificiellt ut","-- / 0","","Ja","1.00 / 1","","Detta borde den klara","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","Pressvecket","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","Ser tillräckligt enkel ut","-- / 0","","Ja","0.00 / 1","","Fingrarna","-- / 0","","Ja","1.00 / 1","","Fingrarna","-- / 0","","Ja","0.00 / 1","","Ögonen","-- / 0","","","-- / 0",""
"2024/03/31 7:24:24 em EET","10.00 / 15","34","-- / 0","","3","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Ja","0.00 / 1","","Det är något med ögonen","-- / 0","","Ja","1.00 / 1","","killens händer","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","pälsen ser animerad ut","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","platta tår","-- / 0","","Ja","0.00 / 1","","lite skev","-- / 0","","Ja","0.00 / 1","","något med armarna stämmer inte","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/31 7:37:27 em EET","6.00 / 15","82","-- / 0","","2","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/31 9:13:27 em EET","3.00 / 15","61","-- / 0","","2","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Ja","0.00 / 1","","Munnen ser stel ut ","-- / 0","","Nej","0.00 / 1","","Vet ej.  Känns äkta ","-- / 0","","Ja","0.00 / 1","","Ser oäkta ut. Ej levande ","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","Ser äkta ut ","-- / 0","","Ja","0.00 / 1","","Ser konstgjord ","-- / 0","","Ja","0.00 / 1","","Nyckelpigan ser ut att vara tecknad ","-- / 0","","Nej","0.00 / 1","","Ljuset o djupet känns levande. ","-- / 0","","Ja","0.00 / 1","","Osäker","-- / 0","","Nej","1.00 / 1","","Ser äkta ut ","-- / 0","","Ja","1.00 / 1","","Plastgroda ","-- / 0","","Ja","0.00 / 1","","Inget djup i bilden ","-- / 0","","Ja","0.00 / 1","","Ser ut som en skyltdocka ","-- / 0","","Nej","0.00 / 1","","Osäker ","-- / 0","","Ja","0.00 / 1","","Ögonen är konstiga ","-- / 0","","Skulle vara roligt att veta vilka som var AI bilder. Lycka till med arbetet ","-- / 0",""
"2024/03/31 10:37:44 em EET","9.00 / 15","51","-- / 0","","3","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Alla individuella hårstrån som inte ligger ned","-- / 0","","Ja","1.00 / 1","","Händerna på mannen. För släta","-- / 0","","Ja","0.00 / 1","","Vet inte riktigt varför. En känsla","-- / 0","","Nej","1.00 / 1","","Berget ser verkligt ut med variationerna i färger och ojämnheter","-- / 0","","Ja","1.00 / 1","","Ser för perf3kt ut","-- / 0","","Ja","0.00 / 1","","Vet inte","-- / 0","","Ja","0.00 / 1","","Vet inte. ","-- / 0","","Ja","1.00 / 1","","För sagolik","-- / 0","","Nej","1.00 / 1","","Troligen använt porträttbilder, men seräkta ut","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nyfiken på resultatet totalt och även vilka bilder som är AI och inte AI. Tack för att jag fick ta del I undersökningen. piahamrin@hotmail.com ","-- / 0",""
"2024/04/02 7:48:03 em EET","5.00 / 15","33","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Håret och kläderna ser naturtrogna ut.","-- / 0","","Ja","1.00 / 1","","Mannens fingrar är konstiga. Ljuset ser konstigt ut och bilden är lite för ""mjuk""","-- / 0","","Ja","0.00 / 1","","Ankans päls blir inte blöt på naturtroget vis.","-- / 0","","Ja","0.00 / 1","","Isen ser inte naturlig ut","-- / 0","","Ja","1.00 / 1","","för ""mjuk"" bild","-- / 0","","Ja","0.00 / 1","","mjuk bild och glaset i mitten ser inte verkligt ut","-- / 0","","Ja","0.00 / 1","","lövet sprickning är inte naturlig","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","halsen är för smal","-- / 0","","Ja","0.00 / 1","","cykeln är fel, fingrarna konstiga, likaså byxorna","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","","-- / 0",""
"2024/04/03 8:31:15 em EET","12.00 / 15","27","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","","-- / 0",""
"2024/04/03 10:52:38 em EET","13.00 / 15","27 ","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","","-- / 0",""
"2024/04/03 11:30:27 em EET","10.00 / 15","30","-- / 0","","5","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Ja","0.00 / 1","","Ringen under hennes öga ser lite onaturlig ut","-- / 0","","Ja","1.00 / 1","","Den har det typiska smooth/blur-effekten och ljuskällan ser onaturlig ut","-- / 0","","Ja","0.00 / 1","","Detaljerna på ankan är väldigt skarpa, vattnet ser generat och det är inte några andra detaljer än ankan och vattnet vilket känns som ett typisk prompt-resultat","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Har typiska AI-drag ","-- / 0","","Ja","0.00 / 1","","Den har inte gjort alla detaljer helt verkliga, tex på glasen nere till höger ","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Den känns lite fluffig, och reflektionen känns något off","-- / 0","","Ja","0.00 / 1","","Får en känsla av att näbben är konstig ut ","-- / 0","","Ja","0.00 / 1","","Kanske är synvilla eller perspektiv, men tycker konstruktionen kring sadeln och vad det nu är känns konstigt ","-- / 0","","Ja","1.00 / 1","","Kan vara vilket som, såna djur ser nästan ai-genererade ut i verkligheten. Men ljuset känns lite för kallt och allt lite pastelligt ","-- / 0","","Nej","1.00 / 1","","Ser verkligt ut, spår i snön verkar konsekventa etc","-- / 0","","Nej","1.00 / 1","","Ser inte några tydliga tecken på ai","-- / 0","","Ja","1.00 / 1","","Känna promptad ","-- / 0","","Nej","1.00 / 1","","Kan var vilket som, men känns verklig","-- / 0","","","-- / 0",""
"2024/04/04 12:32:46 em EET","12.00 / 15","23","-- / 0","","3","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","","-- / 0",""
"2024/04/04 12:34:33 em EET","12.00 / 15","22","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Bilden känns för suddig","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","","-- / 0",""
"2024/04/04 4:33:56 em EET","7.00 / 15","62","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Ja","0.00 / 1","","det är något med ansiktet som inte stämmer","-- / 0","","Ja","1.00 / 1","","mannens fingrar","-- / 0","","Ja","0.00 / 1","","munnen","-- / 0","","Nej","1.00 / 1","","farledsmarkeringarna sitter på rätt ställe","-- / 0","","Ja","1.00 / 1","","pälsen ser oriktig ut","-- / 0","","Ja","0.00 / 1","","skärpedjupet på bron bakom överensstämmer inte med skärpedjupet på bordet","-- / 0","","Nej","1.00 / 1","","skärpedjupet stämmer i bilden. Annars en riktigt bra ai bild","-- / 0","","Ja","1.00 / 1","","mossan ser overklig ut","-- / 0","","Nej","1.00 / 1","","fullt möjlig att fotografera ser äkta ut med skräpet vid munnen","-- / 0","","Ja","0.00 / 1","","handen","-- / 0","","Nej","0.00 / 1","","fullt möjlig att fotografera annars en riktigt bra ai","-- / 0","","Ja","0.00 / 1","","perspektivet stämmer inte riktigt. Den känns platt. I verkligheten har denna typ av bild mer djup","-- / 0","","Ja","0.00 / 1","","underarmen ser underlig ut","-- / 0","","Ja","1.00 / 1","","handens fingrar har underlig vinkel ","-- / 0","","Ja","0.00 / 1","","isättningen av fossingarna (fotställningen)","-- / 0","","Riktigt bra utvalda bilder. Inget var självklart och fortfarande inte säker :)","-- / 0",""
"2024/04/04 7:36:10 em EET","15.00 / 15","32","-- / 0","","5","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Huden är för smooth, det finns ett visst skimmer över bilden som känns typiskt för AI","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","Händerna ","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","","-- / 0",""
"2024/04/04 10:55:43 em EET","13.00 / 15","65","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","","-- / 0",""
"2024/04/13 12:44:38 em EET","5.00 / 15","76","-- / 0","","1","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Den ser naturlig ut","-- / 0","","Ja","1.00 / 1","","Den ser suddig ut. ","-- / 0","","Nej","1.00 / 1","","Den ser så gullig ut","-- / 0","","Nej","1.00 / 1","","Den ser äkta och trovärdig ut","-- / 0","","Nej","0.00 / 1","","Ingenting ser fel ut på bilden","-- / 0","","Ja","0.00 / 1","","Den ser ihopplockad ut","-- / 0","","Ja","0.00 / 1","","Nycklepigan ser inte verklig ut","-- / 0","","Nej","0.00 / 1","","Nej, ser ut som en naturbild ur John Bauers arkiv","-- / 0","","Ja","0.00 / 1","","Något ser fel ut med fågelns hals","-- / 0","","Ja","0.00 / 1","","Killen ser inklippt ut","-- / 0","","Ja","1.00 / 1","","Jag bara tycker det","-- / 0","","Ja","0.00 / 1","","Bilden ser ut som ett montage av olika fjällmiljöer","-- / 0","","Ja","0.00 / 1","","Håret över halsen ser konstigt ut, verkar vara två ihoplagda bilder ","-- / 0","","Nej","0.00 / 1","","Allt ser rätt ut","-- / 0","","Ja","0.00 / 1","","Hunden ser inte ut att höra ihop med underlaget","-- / 0","","Mycket svår, tror inte att mina svar tillför så mycket","-- / 0",""
"2024/04/15 12:58:52 fm EET","12.00 / 15","19","-- / 0","","3","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","mycket detalj i håret","-- / 0","","Ja","1.00 / 1","","ful","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","","-- / 0",""
"2024/04/29 8:41:05 em EEST","10.00 / 15","17","-- / 0","","6","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Ser verklig","-- / 0","","Ja","1.00 / 1","","För mjuk","-- / 0","","Ja","0.00 / 1","","Vattnet för vattnigt","-- / 0","","Nej","1.00 / 1","","Ser normalt","-- / 0","","Ja","1.00 / 1","","Fake","-- / 0","","Nej","1.00 / 1","","Real","-- / 0","","Nej","1.00 / 1","","Zoom","-- / 0","","Nej","0.00 / 1","","Fotografer","-- / 0","","Nej","1.00 / 1","","Bird","-- / 0","","Ja","0.00 / 1","","Kuggfråga","-- / 0","","Nej","0.00 / 1","","Kugg igen","-- / 0","","Nej","1.00 / 1","","Fin fint ","-- / 0","","Nej","1.00 / 1","","Nope","-- / 0","","Ja","1.00 / 1","","Skojar du","-- / 0","","Ja","0.00 / 1","","Hunden är för disney","-- / 0","","Ah to ez ","-- / 0",""
"2024/04/29 8:53:37 em EEST","9.00 / 15","52","-- / 0","","2","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","","-- / 0",""
